run_id,trial_role,score,cost_seconds,converged,geko_csep,geko_cnw,geko_cmix,geko_cturb,geko_cjet
alpha1.0_Re2800_geko_default,baseline,2.968347314,39.2003,true,1.75,0.5,0,2,1
alpha1.0_Re2800_Csep1.5185_Cnw1.3305_Cmix-0.1171_Cjet0.5822_Cturb1.1389,optimizer,3.376470791,45.3290,true,1.518461894,1.330528129,-0.117138391,1.138894502,0.5822246316
alpha1.0_Re2800_Csep2.4185_Cnw-0.6695_Cmix0.4829_Cjet1.1822_Cturb2.1389,optimizer,4.242581925,36.3137,true,2.418461894,-0.6694718707,0.482861609,2.138894502,1.182224632
alpha1.0_Re2800_Csep1.0685_Cnw-1.6695_Cmix0.7829_Cjet0.2822_Cturb1.6389,optimizer,3.684091686,33.5048,true,1.068461894,-1.669471871,0.782861609,1.638894502,0.2822246316
alpha1.0_Re2800_Csep1.9685_Cnw0.3305_Cmix0.1829_Cjet0.8822_Cturb0.6389,optimizer,2.066697098,35.9320,true,1.968461894,0.3305281293,0.182861609,0.6388945021,0.8822246316
alpha1.0_Re2800_Csep2.1935_Cnw-1.1695_Cmix0.6329_Cjet0.4322_Cturb1.3889,optimizer,3.620599275,34.1062,true,2.193461894,-1.169471871,0.632861609,1.388894502,0.4322246316
alpha1.0_Re2800_Csep1.2935_Cnw0.8305_Cmix0.0329_Cjet1.0322_Cturb2.3889,optimizer,2.814666508,40.1512,true,1.293461894,0.8305281293,0.03286160905,2.388894502,1.032224632
alpha1.0_Re2800_Csep0.8435_Cnw1.8305_Cmix0.3329_Cjet0.7322_Cturb1.8889,optimizer,2.791589155,36.2876,true,0.843461894,1.830528129,0.332861609,1.888894502,0.7322246316
alpha1.0_Re2800_Csep1.7435_Cnw-0.1695_Cmix0.9329_Cjet0.1322_Cturb0.8889,optimizer,2.517978748,31.5324,true,1.743461894,-0.1694718707,0.932861609,0.8888945021,0.1322246316
alpha1.0_Re2800_Csep1.856_Cnw-1.4195_Cmix0.2579_Cjet0.0572_Cturb0.5139,optimizer,2.937328819,33.3044,true,1.855961894,-1.419471871,0.257861609,0.5138945021,0.05722463157
alpha1.0_Re2800_Csep0.956_Cnw0.5805_Cmix0.8579_Cjet0.6572_Cturb1.5139,optimizer,2.260908045,32.7645,true,0.955961894,0.5805281293,0.857861609,1.513894502,0.6572246316
alpha1.0_Re2800_Csep1.406_Cnw1.5805_Cmix0.5579_Cjet0.9572_Cturb1.0139,optimizer,2.439621533,33.7638,true,1.405961894,1.580528129,0.557861609,1.013894502,0.9572246316
alpha1.0_Re2800_Csep2.306_Cnw-0.4195_Cmix-0.0421_Cjet0.3572_Cturb2.0139,optimizer,4.395119427,41.7572,true,2.305961894,-0.4194718707,-0.04213839095,2.013894502,0.3572246316
alpha1.0_Re2800_Csep2.081_Cnw-1.9195_Cmix-0.1921_Cjet1.1072_Cturb2.2639,optimizer,5.905121093,47.1636,true,2.080961894,-1.919471871,-0.192138391,2.263894502,1.107224632
alpha1.0_Re2800_Csep1.181_Cnw0.0805_Cmix0.4079_Cjet0.5072_Cturb1.2639,optimizer,2.396096276,33.6818,true,1.180961894,0.08052812926,0.407861609,1.263894502,0.5072246316
alpha1.0_Re2800_Csep0.731_Cnw-0.9195_Cmix0.1079_Cjet0.2072_Cturb0.7639,optimizer,3.109799955,35.7412,true,0.730961894,-0.9194718707,0.107861609,0.7638945021,0.2072246316
alpha1.0_Re2800_Csep1.631_Cnw1.0805_Cmix0.7079_Cjet0.8072_Cturb1.7639,optimizer,2.842581505,33.9896,true,1.630961894,1.080528129,0.707861609,1.763894502,0.8072246316
alpha1.0_Re2800_Csep1.6872_Cnw-0.7945_Cmix0.8954_Cjet0.9197_Cturb1.9514,optimizer,3.617200866,35.3560,true,1.687211894,-0.7944718707,0.895361609,1.951394502,0.9197246316
alpha1.0_Re2800_Csep0.7872_Cnw1.2055_Cmix0.2954_Cjet0.3197_Cturb0.9514,optimizer,2.789784596,34.0955,true,0.787211894,1.205528129,0.295361609,0.9513945021,0.3197246316
alpha1.0_Re2800_Csep1.2372_Cnw-1.7945_Cmix-0.0046_Cjet0.0197_Cturb1.4514,optimizer,4.635209892,37.4679,true,1.237211894,-1.794471871,-0.004638390952,1.451394502,0.01972463157
alpha1.0_Re2800_Csep2.1372_Cnw0.2055_Cmix0.5954_Cjet0.6197_Cturb2.4514,optimizer,3.773162675,36.1595,true,2.137211894,0.2055281293,0.595361609,2.451394502,0.6197246316
alpha1.0_Re2800_Csep2.3622_Cnw1.7055_Cmix0.4454_Cjet0.1697_Cturb1.7014,optimizer,3.754213657,35.2292,true,2.362211894,1.705528129,0.445361609,1.701394502,0.1697246316
alpha1.0_Re2800_Csep1.4622_Cnw-0.2945_Cmix-0.1546_Cjet0.7697_Cturb0.7014,optimizer,4.474857722,46.0192,true,1.462211894,-0.2944718707,-0.154638391,0.7013945021,0.7697246316
alpha1.0_Re2800_Csep1.0122_Cnw-1.2945_Cmix0.7454_Cjet1.0697_Cturb1.2014,optimizer,2.913380312,31.8672,true,1.012211894,-1.294471871,0.745361609,1.201394502,1.069724632
alpha1.0_Re2800_Csep1.9122_Cnw0.7055_Cmix0.1454_Cjet0.4697_Cturb2.2014,optimizer,3.407822234,38.4156,true,1.912211894,0.7055281293,0.145361609,2.201394502,0.4697246316
